spin_id,number
1,20
2,2
3,6
4,18
5,26
6,4
7,19
8,21
9,13
10,21
11,16
12,33
13,19
14,24
15,0
16,8
17,26
18,18
19,16
20,6
21,2
22,30
23,34
24,28
25,2
26,17
27,18
28,17
29,17
30,15
31,8
32,17
33,28
34,34
35,22
36,23
37,8
38,3
39,12
40,19
41,25
42,2
43,12
44,5
45,13
46,29
47,27
48,20
49,25
50,0
51,14
52,27
53,27
54,17
55,25
56,24
57,27
58,11
59,2
60,23
61,24
62,11
63,36
64,35
65,32
66,6
67,10
68,16
69,32
70,25
71,15
72,0
73,6
74,11
75,7
76,0
77,31
78,30
79,16
80,4
81,18
82,13
83,11
84,24
85,17
86,30
87,4
88,14
89,19
90,34
91,25
92,4
93,5
94,2
95,9
96,34
97,3
98,24
99,19
100,33
101,2
102,13
103,2
104,34
105,33
106,23
107,0
108,12
109,25
110,23
111,4
112,36
113,22
114,25
115,29
116,33
117,33
118,12
119,10
120,4
121,1
122,33
123,18
124,4
125,25
126,35
127,24
128,2
129,11
130,36
131,4
132,16
133,15
134,15
135,17
136,13
137,24
138,12
139,25
140,21
141,4
142,15
143,21
144,25
145,35
146,28
147,4
148,22
149,0
150,1
151,6
152,13
153,25
154,24
155,35
156,29
157,18
158,10
159,3
160,29
161,33
162,28
163,19
164,25
165,12
166,21
167,19
168,36
169,31
170,16
171,10
172,9
173,29
174,0
175,12
176,16
177,28
178,23
179,27
180,4
181,31
182,4
183,29
184,21
185,15
186,20
187,10
188,21
189,32
190,34
191,7
192,13
193,22
194,26
195,18
196,26
197,23
198,3
199,2
200,2
201,14
202,3
203,1
204,24
205,7
206,17
207,28
208,15
209,2
210,18
211,5
212,29
213,13
214,32
215,24
216,1
217,4
218,16
219,9
220,3
221,1
222,24
223,1
224,36
225,5
226,30
227,5
228,1
229,1
230,29
231,21
232,25
233,6
234,35
235,1
236,4
237,6
238,14
239,2
240,9
241,35
242,35
243,23
244,27
245,21
246,4
247,15
248,29
249,27
250,25
251,28
252,4
253,4
254,17
255,29
256,4
257,2
258,35
259,28
260,14
261,4
262,14
263,26
264,14
265,5
266,31
267,12
268,11
269,14
270,33
271,16
272,8
273,13
274,0
275,18
276,10
277,33
278,17
279,10
280,32
281,23
282,10
283,34
284,17
285,33
286,19
287,4
288,2
289,27
290,3
291,7
292,30
293,20
294,11
295,22
296,14
297,0
298,16
299,17
300,35
301,33
302,12
303,18
304,11
305,28
306,26
307,25
308,11
309,19
310,23
311,30
312,23
313,4
314,10
315,13
316,11
317,9
318,23
319,0
320,36
321,28
322,34
323,21
324,0
325,24
326,2
327,27
328,22
329,28
330,25
331,2
332,34
333,3
334,0
335,31
336,35
337,27
338,2
339,7
340,21
341,31
342,3
343,13
344,19
345,10
346,31
347,23
348,13
349,11
350,14
351,25
352,10
353,4
354,31
355,14
356,21
357,25
358,6
359,6
360,6
361,22
362,32
363,2
364,1
365,21
366,7
367,22
368,18
369,33
370,32
371,3
372,4
373,32
374,10
375,12
376,27
377,22
378,8
379,19
380,1
381,3
382,14
383,20
384,16
385,19
386,11
387,2
388,24
389,10
390,32
391,30
392,9
393,27
394,33
395,27
396,15
397,4
398,0
399,32
400,20
401,2
402,7
403,22
404,31
405,20
406,35
407,5
408,17
409,14
410,4
411,34
412,0
413,3
414,34
415,7
416,28
417,23
418,9
419,6
420,11
421,12
422,3
423,19
424,18
425,18
426,11
427,0
428,8
429,1
430,4
431,24
432,12
433,4
434,20
435,36
436,22
437,16
438,11
439,23
440,15
441,9
442,6
443,3
444,28
445,4
446,3
447,13
448,14
449,12
450,2
451,17
452,12
453,24
454,36
455,23
456,20
457,34
458,0
459,17
460,28
461,13
462,25
463,13
464,10
465,26
466,33
467,19
468,28
469,1
470,10
471,15
472,25
473,1
474,25
475,18
476,2
477,9
478,14
479,6
480,5
481,35
482,17
483,18
484,16
485,25
486,23
487,2
488,5
489,16
490,18
491,14
492,19
493,31
494,34
495,25
496,12
497,35
498,6
499,2
500,23
501,13
502,3
503,17
504,7
505,8
506,33
507,35
508,23
509,31
510,18
511,29
512,8
513,31
514,21
515,32
516,28
517,15
518,15
519,22
520,21
521,15
522,6
523,20
524,4
525,7
526,3
527,1
528,31
529,21
530,33
531,3
532,35
533,27
534,14
535,21
536,33
537,33
538,2
539,6
540,7
541,25
542,34
543,8
544,2
545,8
546,27
547,11
548,33
549,7
550,13
551,10
552,19
553,18
554,13
555,26
556,9
557,9
558,20
559,4
560,29
561,8
562,20
563,9
564,32
565,12
566,0
567,29
568,10
569,13
570,22
571,1
572,18
573,1
574,1
575,23
576,20
577,33
578,36
579,9
580,8
581,29
582,20
583,35
584,28
585,3
586,13
587,9
588,3
589,29
590,2
591,10
592,17
593,5
594,29
595,7
596,21
597,1
598,23
599,6
600,1
601,14
602,21
603,29
604,11
605,14
606,34
607,14
608,15
609,12
610,24
611,28
612,21
613,6
614,31
615,19
616,18
617,36
618,6
619,2
620,32
621,18
622,12
623,10
624,14
625,18
626,2
627,23
628,30
629,25
630,2
631,14
632,33
633,18
634,28
635,19
636,26
637,29
638,16
639,32
640,22
641,17
642,28
643,20
644,11
645,0
646,16
647,31
648,12
649,15
650,33
651,4
652,7
653,21
654,10
655,14
656,21
657,29
658,2
659,36
660,0
661,17
662,1
663,22
664,14
665,23
666,10
667,4
668,9
669,17
670,5
671,34
672,14
673,19
674,36
675,15
676,2
677,34
678,33
679,4
680,12
681,8
682,29
683,28
684,13
685,19
686,6
687,19
688,35
689,31
690,22
691,9
692,2
693,7
694,14
695,5
696,26
697,28
698,20
699,35
700,27
701,21
702,23
703,27
704,34
705,23
706,13
707,17
708,3
709,2
710,12
711,25
712,5
713,5
714,35
715,9
716,26
717,21
718,25
719,35
720,12
721,21
722,17
723,25
724,16
725,13
726,13
727,12
728,0
729,26
730,8
731,8
732,29
733,33
734,33
735,12
736,33
737,4
738,25
739,5
740,5
741,23
742,15
743,15
744,36
745,7
746,17
747,2
748,10
749,9
750,6
751,18
752,19
753,25
754,7
755,14
756,17
757,16
758,34
759,28
760,32
761,36
762,35
763,4
764,7
765,26
766,11
767,14
768,19
769,15
770,8
771,35
772,2
773,4
774,32
775,7
776,35
777,35
778,2
779,27
780,20
781,29
782,35
783,22
784,18
785,30
786,20
787,10
788,33
789,20
790,32
791,30
792,25
793,34
794,13
795,10
796,7
797,12
798,21
799,31
800,26
801,29
802,6
803,25
804,9
805,21
806,14
807,22
808,10
809,19
810,26
811,9
812,6
813,25
814,4
815,4
816,7
817,35
818,25
819,19
820,10
821,35
822,15
823,30
824,4
825,31
826,6
827,2
828,17
829,29
830,11
831,9
832,13
833,36
834,12
835,24
836,0
837,6
838,2
839,12
840,4
841,32
842,33
843,24
844,21
845,3
846,12
847,23
848,13
849,21
850,16
851,6
852,22
853,4
854,20
855,35
856,35
857,12
858,32
859,0
860,28
861,32
862,35
863,27
864,17
865,25
866,11
867,7
868,25
869,16
870,27
871,35
872,29
873,5
874,34
875,10
876,1
877,15
878,26
879,19
880,19
881,29
882,21
883,14
884,31
885,20
886,1
887,24
888,27
889,11
890,9
891,13
892,19
893,7
894,35
895,11
896,6
897,29
898,15
899,16
900,33
901,23
902,31
903,25
904,26
905,34
906,4
907,1
908,33
909,1
910,28
911,2
912,16
913,22
914,27
915,26
916,35
917,0
918,3
919,5
920,32
921,3
922,13
923,1
924,4
925,26
926,24
927,28
928,0
929,28
930,10
931,8
932,13
933,3
934,8
935,26
936,23
937,1
938,22
939,18
940,20
941,6
942,31
943,25
944,36
945,34
946,12
947,7
948,13
949,12
950,5
951,10
952,15
953,30
954,9
955,7
956,4
957,9
958,28
959,29
960,32
961,16
962,17
963,1
964,14
965,25
966,0
967,14
968,18
969,0
970,8
971,17
972,6
973,8
974,14
975,12
976,14
977,5
978,8
979,22
980,26
981,26
982,16
983,4
984,34
985,3
986,32
987,17
988,20
989,24
990,6
991,8
992,24
993,3
994,8
995,19
996,25
997,29
998,12
999,2
1000,32
1001,35
1002,19
1003,11
1004,8
1005,3
1006,14
1007,14
1008,3
1009,8
1010,8
1011,30
1012,9
1013,12
1014,5
1015,20
1016,5
1017,6
1018,1
1019,19
1020,29
1021,35
1022,25
1023,22
1024,31
1025,4
1026,2
1027,23
1028,30
1029,33
1030,17
1031,29
1032,8
1033,26
1034,33
1035,22
1036,29
1037,10
1038,14
1039,8
1040,24
1041,8
1042,23
1043,20
1044,28
1045,19
1046,25
1047,13
1048,18
1049,2
1050,10
1051,1
1052,1
1053,4
1054,17
1055,32
1056,26
1057,9
1058,10
1059,28
1060,11
1061,20
1062,32
1063,10
1064,13
1065,4
1066,20
1067,19
1068,29
1069,32
1070,26
1071,8
1072,5
1073,4
1074,20
1075,13
1076,31
1077,24
1078,19
1079,17
1080,30
1081,0
1082,10
1083,6
1084,13
1085,32
1086,7
1087,25
1088,17
1089,35
1090,32
1091,8
1092,11
1093,19
1094,10
1095,13
1096,3
1097,8
1098,18
1099,15
1100,11
1101,35
1102,6
1103,12
1104,7
1105,32
1106,33
1107,18
1108,7
1109,8
1110,17
1111,11
1112,26
1113,31
1114,8
1115,1
1116,35
1117,12
1118,2
1119,12
1120,23
1121,13
1122,4
1123,16
1124,1
1125,2
1126,14
1127,28
1128,35
1129,1
1130,36
1131,26
1132,20
1133,5
1134,18
1135,10
1136,3
1137,14
1138,31
1139,17
1140,1
1141,25
1142,26
1143,9
1144,2
1145,19
1146,2
1147,12
1148,13
1149,25
1150,25
1151,1
1152,9
1153,12
1154,18
1155,4
1156,29
1157,34
1158,28
1159,32
1160,18
1161,1
1162,34
1163,20
1164,21
1165,5
1166,9
1167,1
1168,0
1169,15
1170,32
1171,0
1172,19
1173,18
1174,0
1175,12
1176,33
1177,2
1178,15
1179,36
1180,25
1181,1
1182,16
1183,20
1184,14
1185,12
1186,27
1187,35
1188,31
1189,24
1190,32
1191,16
1192,15
1193,23
1194,20
1195,29
1196,36
1197,19
1198,33
1199,1
1200,5
1201,18
1202,11
1203,27
1204,2
1205,26
1206,5
1207,8
1208,0
1209,33
1210,25
1211,2
1212,6
1213,14
1214,7
1215,17
